SYMBOL,AVG,
KAVVERITEL,0.98333234,
KAYA,10.849998,
KCP,2.3166673,
KCPSUGIND,3.0166647,
KDDL,7.816658,
KEC,12.850001,
KECL,12.983342,
KEI,9.916675,
KELLTONTEC,8.983339,
KENNAMET,17.233343,
KERNEX,6.5499988,
KESORAMIND,5.3499947,
KEYFINSERV,3.899999,
KGL,13.400017,
KHADIM,16.76668,
KHAITANLTD,2.1500003,
KHFM,8.333333,
KICL,11.149999,
KILITCH,6.483335,
KINGFA,7.65,
KIOCL,3.8333328,
KIRIINDUS,21.133331,
KIRLFER,4.283333,
KIRLOSBROS,31.466665,
KIRLOSENG,5.6333337,
KIRLOSIND,16.649994,
KITEX,3.050003,
KKCL,49.116665,
KMSUGAR,3.713334,
KNRCON,31.766668,
KOHINOOR,2.883333,
KOKUYOCMLN,10.199997,
KOLTEPATIL,4.299999,
KOPRAN,9.300008,
KOTAKBANK,11.166634,
KOTAKBKETF,3.883334,
KOTAKGOLD,5.333329,
KOTAKNIFTY,1.7900022,
KOTAKNV20,18.753357,
KOTAKPSUBK,5.5866647,
KOTARISUG,1.8999962,
KOTHARIPET,0.78333455,
KOTHARIPRO,5.2366652,
KPITTECH,3.4666646,
KPRMILL,14.799992,
KRBL,8.2,
KREBSBIO,4.349996,
KRIDHANINF,1.7833338,
KRISHANA,7.4166665,
KRITIKA,5.9833374,
KSB,10.366658,
KSCL,8.430005,
KSERASERA,9.699996,
KSHITIJPOL,4.216665,
KSK,6.7000003,
KSL,9.413313,
KTKBANK,15.616664,
KUANTUM,4.8333344,
KWALITY,27.883307,
L&TFH,0.85000056,
L&TFINANCE,5.3500085,
L&TFINANCE,22.086655,
L&TFINANCE,16.653341,
L&TFINANCE,37.666668,
L&TFINANCE,4.500004,
L&TFINANCE,5.25,
L&TFINANCE,17.749979,
L&TFINANCE,2.5666707,
L&TINFRA,15.400008,
L&TINFRA,5.266668,
L&TINFRA,9.82666,
L&TINFRA,0.9166584,
L&TINFRA,35.61334,
LAKPRE,10.366662,
LAKSHVILAS,4.596663,
LALPATHLAB,11.900014,
LAMBODHARA,13.033337,
LAOPALA,32.75001,
LASA,0.4433314,
LAURUSLABS,6.8400116,
LAXMIMACH,35.99999,
LEMONTREE,1.3499994,
LFIC,3.5166664,
LGBBROSLTD,4.5166707,
LGBFORGE,9.0,
LIBAS,7.183349,
LIBERTSHOE,15.729991,
LICHSGFIN,27.216654,
LICNETFGSC,32.456676,
LICNETFN50,7.01667,
LICNETFSEN,17.866669,
LICNFNHGP,27.98333,
